content,sentimen,aspek
"Mohon maaf, mangapa Shopee Lebih susah untuk dibuka, contoh mau liat pesanan susah sekali, padahal kan jaringan saya sudah stabil, ??",negatif,Efficiency
Skarang bnyak akun toko penipuh!!!!,negatif,Privacy
Sangat puas.. barang yg datang sesuai dan pelayanannya memuaskan,positif,Fulfillment
"Sangat membantu dan mepermudah dalam belanja, dan mohon di tingkatkan lagi untuk promonya, dari yang terendah sampai yang tertinggi.ðŸ™ðŸ»",positif,Efficiency
"Fitur pencariannya ngga akurat, makin banyak bug. Untuk beberapa fitur, kaya emas sering banget not connection internet padahal buat buka yang lain bisa. Tolong dong shopee prioritasin aplikasinya untuk belanja/transaksi aja, game-game/shopee video yang ngga penting itu mending dikurangin bikin berat aplikasinya aja ðŸª³ðŸª³ðŸª³",negatif,System Availability
Aplikasi shopee.sangat baik belanja sangat gampang banyak diskon nya..,positif,Efficiency
"Untuk Shopee Express Hub Kebayoran Lama, tolong di blacklist aja... Paket saya sudah 3hari gk jalan di hub kebayoran lama, padahal saya alamat nya di kebayoran lama...dan ujung-ujung nya barang malah di return se'enak nya, udah nungguin lama tapi malah di return sama shopee Express Nya...kurir nya mohon perbaiki lagi ðŸ–•ðŸ–•ðŸ–•",negatif,Fulfillment
Sangat membantu dengan kondisi hamil tua.belanja kebutuhan menjadi mudah,positif,Efficiency
"Shopee pengiriman sangat lambat, kalau ke aceh biasanya 3hr di shopee sampai 7hr, mohon di perbaiki jasa pengirimannya. Sukses selalu shopee.",negatif,Fulfillment
"Minim pembaruan, lambat banget, tapi tiap bulan mintak update terus, kalau gini lebih baik pindah toko aja",negatif,Efficiency
Ada masalah tanya ke cs terus jawaban cs memberi tahu solusinya bagaimana terus ramah juga bagus cs nya,positif,Responsiveness
Trimaksih shopee..pesanan sesuai dan pengiriman tercepat,positif,Fulfillment
Chat ke cs nya gak pernh ada solusi. Cuma bilang mohon menunggu,negatif,Responsiveness
"Selama memebeli barang2 d shopee sesuai dg pesanan..hrs lebih teliti, ttp harga mempengaruhi qualitas barang,beli lah d toko yg resmi jk ingin qualitas bagus..kadang ongkiry kemahalan tp msh d kurangi potongan ongkir ya lumayanlah",positif,Fulfillment
fitur notifikasi muncul di hp berfungsi baik jadi ketika pesan shopee food dan lagi sibuk jadi tahu pesanan kita prosesnya sampai mana,positif,System Availability
"Udah kirim keluhan lewat email, belum ditanggepin, tanggepin coba, tolong",negatif,Responsiveness
"shopee pay nya sering error terus semenjak di perbaruhi udah ada adminnya dan limit top up nya cuma 1jt,,lebih parahnnya lgi pas buka shopee pay katanya sedang memperbaruhi fitur di tunggu semaleman belum juga selesai padahal jaringan bagus.",negatif,System Availability
"Enak di shopee , banyak banget voucher gratis ongkir nya lohhh pengiriman nya pun cepat , kalau di tiktokshop harus pakai kode otp sayangnya, dan semoga akun shopee ku tibaÂ² ada yg ngirim paket gratis ðŸ¤­ðŸ’—",positif,Fulfillment
"aneh!!!! barang saya tibaÂ² di tahan katanya saya udah reschedule padahal saya gk reschedule sama sekali,aneh aneh!!!!! ,udah 4 hari barang gak datang,eh malah di suruh nunggu 8 hari, 4+8=14 hari harus nunggu? haduh nih aplikasi kok jadi kaya gini ngakak aduh, aneh aneh!!!!!",negatif,Fulfillment
"Cs lama melayami masalh masalah. Mohon di tingkatin lagi pelayanannya nya jlek banget kalo ada bintang 0 mending 0 ini, banyak pembeli yg di rugikan waktu dan lain lain.",negatif,Responsiveness
"Catatan satu lagi cs shopee call center yang berkaitan dengan spinjam terlihat tidak ramah,aga punya nada emosian gitu",negatif,Responsiveness
Pelayanan yang bagus karena setelah lapor karena pesanan saya tidak segera dikirim dan macet digudang selama 14 hari langsung dikembalikan saldo saya,positif,Compensation
